instance,worse,median,best,seed1,fitness1,time1,seed2,fitness2,time2,seed3,fitness3,time3,seed4,fitness4,time4,seed5,fitness5,time5
pr226_n675_uncorr_09,113853.554919805,113853.554919805,113853.554919805,59,113853.554919805,45.692635443,179,113853.554919805,5.662906035,299,113853.554919805,162.891994777,419,113853.554919805,19.066387024,539,113853.554919805,27.553747339
pr226_n675_uncorr_10,119131.217574748,119131.217574748,119131.217574748,60,119131.217574748,106.001173246,180,119131.217574748,67.27475898,300,119131.217574748,40.368983096,420,119131.217574748,125.566034539,540,119131.217574748,52.687093883
pr226_n1125_bounded-strongly-corr_01,71096.0386368163,71690.5300837699,71760.2962406788,61,71690.5300837699,9.004534523,181,71096.0386368163,130.539877089,301,71760.2962406788,43.043499437,421,71680.5785975936,295.679346528,541,71719.4794013666,590.775511061
pr226_n1125_bounded-strongly-corr_02,130962.26245651,131022.138965575,131062.344969384,62,131062.344969384,62.605085066,182,131022.138965575,486.679215752,302,131022.483247019,525.194436792,422,130962.26245651,494.701615191,542,130993.498904557,16.534145163
pr226_n1125_bounded-strongly-corr_03,169052.166139291,169200.847924953,169290.054245908,63,169290.054245908,135.884935951,183,169286.964214138,213.820491258,303,169200.847924953,231.45041416,423,169052.166139291,572.677349514,543,169192.765447048,332.367098108
pr226_n1125_bounded-strongly-corr_04,202222.642530815,206775.454580102,206911.807418549,64,202222.642530815,517.892391697,184,206911.807418549,570.190239046,304,202222.642530815,203.812473994,424,206818.918845223,525.342595808,544,206775.454580102,364.750218961
pr226_n1125_bounded-strongly-corr_05,240541.774255693,244982.670851124,245122.888158787,65,244982.670851124,365.738464425,185,240542.404053992,428.877408039,305,245052.852916225,514.674887894,425,245122.888158787,288.911929655,545,240541.774255693,235.941279802
pr226_n1125_bounded-strongly-corr_06,259161.242313814,259161.242313814,263178.923838256,66,259161.242313814,138.132252778,186,263178.923838256,134.25463461,306,259161.242313814,257.779765928,426,259161.242313814,335.667043118,546,259161.242313814,79.924919911
pr226_n1125_bounded-strongly-corr_07,268479.954755538,268479.954755538,271886.121850124,67,268479.954755538,418.870700131,187,271886.121850124,524.256361097,307,268479.954755538,361.934326782,427,268479.954755538,168.742629825,547,271884.949234379,409.519480439
pr226_n1125_bounded-strongly-corr_08,292660.867262701,295168.575340032,295357.838590453,68,295357.838590453,162.486190198,188,295168.575340032,197.656112097,308,295357.838590453,355.115948936,428,292660.867262701,21.682174553,548,292660.867262701,74.64647739
pr226_n1125_bounded-strongly-corr_09,317616.066630519,319677.493770566,319881.400643488,69,317616.066630519,4.917849299,189,319881.400643488,528.620625017,309,319881.400643488,402.843161309,429,319677.493770566,317.060727862,549,317616.066630519,128.908379432
pr226_n1125_bounded-strongly-corr_10,328644.416927171,328644.416927171,330140.410282055,70,330140.410282055,107.708574034,190,330140.410282055,75.866310795,310,328644.416927171,6.186351941,430,328644.416927171,5.840757936,550,328644.416927171,28.995476421
pr226_n1125_uncorr-similar-weights_01,40151.7228839347,40171.586966285,40179.8032752625,71,40160.0738681839,579.28496171,191,40179.8032752625,25.234806495,311,40171.586966285,310.629917265,431,40151.7228839347,261.35632449,551,40179.8032752625,228.991006043
pr226_n1125_uncorr-similar-weights_02,65426.428934765,65495.8212677173,65501.2166457138,72,65501.2166457138,279.189895176,192,65495.8212677173,117.117069756,312,65485.6206246934,514.182583556,432,65426.428934765,244.539985129,552,65501.2166457138,381.192449915
pr226_n1125_uncorr-similar-weights_03,80855.402812844,80855.402812844,80858.8192553967,73,80858.8192553967,442.70136582,193,80855.402812844,27.545720294,313,80855.402812844,206.202859681,433,80858.8192553967,345.786309523,553,80855.402812844,220.264120392
pr226_n1125_uncorr-similar-weights_04,97150.1114023644,97150.1114023644,97150.1114023644,74,97150.1114023644,75.447910103,194,97150.1114023644,60.244667434,314,97150.1114023644,77.630627203,434,97150.1114023644,294.809059485,554,97150.1114023644,94.781122047
pr226_n1125_uncorr-similar-weights_05,114973.79826726,115114.649062225,115114.649062225,75,115114.649062225,131.64012489,195,115114.649062225,46.408714184,315,115114.649062225,160.071426287,435,114973.79826726,48.339556096,555,115114.649062225,30.108475096
pr226_n1125_uncorr-similar-weights_06,131971.364666551,132077.721644263,132234.228868116,76,132077.721644263,271.66113434,196,132234.228868116,478.079226713,316,132077.721644263,517.284277039,436,131971.364666551,280.717362476,556,132234.228868116,162.58069464
pr226_n1125_uncorr-similar-weights_07,146487.033030945,146487.033030945,146487.033030945,77,146487.033030945,84.476864157,197,146487.033030945,98.801315924,317,146487.033030945,482.78602784,437,146487.033030945,47.213116969,557,146487.033030945,130.817209027
pr226_n1125_uncorr-similar-weights_08,159587.780980583,160751.813809843,160929.824988979,78,160929.824988979,293.92967592,198,160751.813809843,135.723650272,318,159587.780980583,306.157166065,438,159587.780980583,242.282273967,558,160929.824988979,365.895666
pr226_n1125_uncorr-similar-weights_09,179427.80154329,179614.54690583,179614.54690583,79,179614.54690583,470.242222507,199,179427.80154329,41.141608681,319,179614.54690583,261.049609228,439,179601.328268696,135.854199423,559,179614.54690583,534.184928792
pr226_n1125_uncorr-similar-weights_10,196486.991762248,196486.991762248,196486.991762248,80,196486.991762248,345.175668273,200,196486.991762248,129.203322872,320,196486.991762248,169.907112807,440,196486.991762248,136.738632143,560,196486.991762248,239.591854363
pr226_n1125_uncorr_01,68167.3037837458,68167.3037837458,68217.4293866283,81,68217.4293866283,109.198997591,201,68217.4293866283,301.408722406,321,68167.3037837458,61.986535913,441,68167.3037837458,92.901728311,561,68167.3037837458,26.163250686
pr226_n1125_uncorr_02,100101.66566819,100166.446542807,100166.446542807,82,100161.469545042,85.452683064,202,100166.446542807,29.806730423,322,100166.446542807,461.727074887,442,100166.446542807,541.193085146,562,100101.66566819,28.20380801
pr226_n1125_uncorr_03,117387.069052018,117387.069052018,117387.069052018,83,117387.069052018,293.619643564,203,117387.069052018,175.662102104,323,117387.069052018,93.264702183,443,117387.069052018,277.096903177,563,117387.069052018,231.90526822
pr226_n1125_uncorr_04,133047.704313844,133047.704313844,133047.704313844,84,133047.704313844,49.328625484,204,133047.704313844,67.522301542,324,133047.704313844,55.090219693,444,133047.704313844,3.129808669,564,133047.704313844,32.893329583
pr226_n1125_uncorr_05,146776.829420583,146776.829420583,146776.829420583,85,146776.829420583,41.202505823,205,146776.829420583,248.744695652,325,146776.829420583,256.443680789,445,146776.829420583,110.156067111,565,146776.829420583,78.178556954
pr226_n1125_uncorr_06,156949.780278784,156949.780278784,156949.780278784,86,156949.780278784,26.802089482,206,156949.780278784,2.276818487,326,156949.780278784,81.857566727,446,156949.780278784,34.351409135,566,156949.780278784,19.08174624
pr226_n1125_uncorr_07,171500.515784101,171500.515784101,171500.515784101,87,171500.515784101,32.808362019,207,171500.515784101,80.714527269,327,171500.515784101,70.026308549,447,171500.515784101,32.287413071,567,171500.515784101,72.164037073
pr226_n1125_uncorr_08,182711.773579417,182711.773579417,182711.773579417,88,182711.773579417,16.769311617,208,182711.773579417,2.139824383,328,182711.773579417,90.27783684,448,182711.773579417,2.303608674,568,182711.773579417,100.42471156
pr226_n1125_uncorr_09,189716.627920002,189716.627920002,189716.627920002,89,189716.627920002,36.139059619,209,189716.627920002,2.082230393,329,189716.627920002,1.535200007,449,189716.627920002,6.134561367,569,189716.627920002,5.847594912
pr226_n1125_uncorr_10,201878.319087902,201878.319087902,201878.319087902,90,201878.319087902,9.893477907,210,201878.319087902,57.525089871,330,201878.319087902,17.89315462,450,201878.319087902,12.78051824,570,201878.319087902,91.463537645
pr226_n2250_bounded-strongly-corr_01,135306.036889917,135344.425867703,135380.514246563,91,135331.313739249,473.59092078,211,135380.514246563,443.249714926,331,135344.425867703,411.877089636,451,135359.279991463,321.084317156,571,135306.036889917,134.327895146
pr226_n2250_bounded-strongly-corr_02,260863.223977946,261864.776110896,262929.776394383,92,260879.624402922,493.290329687,212,260863.223977946,326.374291154,332,261864.776110896,114.10904689,452,262721.541609554,387.484110486,572,262929.776394383,557.372658947
pr226_n2250_bounded-strongly-corr_03,339010.625677008,339016.305710975,339226.053095716,93,339013.971041678,464.583745405,213,339016.305710975,59.830432333,333,339209.981578187,542.540842809,453,339226.053095716,348.036264375,573,339010.625677008,123.946377402
pr226_n2250_bounded-strongly-corr_04,412373.682192482,412458.184927314,412671.815047315,94,412442.597136353,394.024811559,214,412458.184927314,112.645031279,334,412671.815047315,73.694222924,454,412373.682192482,575.713053991,574,412458.184927314,31.796821176
pr226_n2250_bounded-strongly-corr_05,479978.330044316,480361.769750055,492056.790605699,95,492056.790605699,531.437622531,215,480361.769750055,202.832582383,335,479978.330044316,397.847463323,455,480361.769750055,84.422120278,575,480370.062702291,474.821769618
pr226_n2250_bounded-strongly-corr_06,500571.607271589,500571.607271589,500573.28009976,96,500573.28009976,134.714591697,216,500571.607271589,177.321739069,336,500571.607271589,5.891736467,456,500571.607271589,206.877837646,576,500571.607271589,366.831651726
pr226_n2250_bounded-strongly-corr_07,574577.330199776,575197.453264887,575197.453264887,97,575197.453264887,158.417169948,217,575197.001875793,248.849051579,337,574577.330199776,322.308403559,457,575197.453264887,333.549437486,577,575197.453264887,165.240600967
pr226_n2250_bounded-strongly-corr_08,628903.892337556,628905.379924396,636893.110849163,98,628903.892337556,175.822752528,218,636893.110849163,196.112743373,338,628905.379924396,537.684120744,458,628905.379924396,42.436211639,578,628903.892337556,359.065970741
pr226_n2250_bounded-strongly-corr_09,648441.434748673,655059.509626534,655068.582741966,99,655059.509626534,212.446577553,219,655068.582741966,297.330023136,339,648441.434748673,583.365174953,459,648442.040061261,575.206524296,579,655059.509626534,572.493100079
pr226_n2250_bounded-strongly-corr_10,705033.127743193,705033.127743193,709705.919785772,100,705033.127743193,47.751912099,220,705033.127743193,10.2582783,340,705033.127743193,161.381981103,460,709705.919785772,207.844214513,580,705033.127743193,431.952670068
pr226_n2250_uncorr-similar-weights_01,75924.1604797371,76020.3298352844,76102.1756565391,101,76102.1756565391,536.290687723,221,76086.2523482279,186.200985838,341,76020.3298352844,311.071380918,461,75963.9609701122,17.945678812,581,75924.1604797371,563.945401165
pr226_n2250_uncorr-similar-weights_02,126098.978148427,128410.551748808,128698.880809677,102,128698.880809677,183.413153344,222,128625.045168171,598.310928312,342,128410.551748808,263.267037129,462,128322.12063513,108.12041638,582,126098.978148427,532.796324421
pr226_n2250_uncorr-similar-weights_03,163005.353166106,163005.353166106,163005.353166106,103,163005.353166106,436.906652858,223,163005.353166106,269.425279453,343,163005.353166106,469.428026761,463,163005.353166106,457.388528554,583,163005.353166106,336.248209066
pr226_n2250_uncorr-similar-weights_04,195969.378504953,195983.51644307,195983.51644307,104,195969.378504953,392.527590471,224,195983.51644307,128.888310069,344,195983.51644307,98.59533278,464,195983.51644307,72.010661726,584,195983.51644307,28.157388197
pr226_n2250_uncorr-similar-weights_05,222942.63300021,226554.902795038,226554.902795038,105,226554.902795038,37.253546982,225,226554.902795038,60.618568645,345,222942.63300021,342.083373678,465,226554.902795038,358.002012786,585,226554.902795038,86.798000102
pr226_n2250_uncorr-similar-weights_06,257884.226172498,266313.989720557,266313.989720557,106,266313.989720557,222.497121313,226,257884.226172498,4.435498693,346,266313.989720557,98.873127232,466,266313.989720557,418.459645075,586,266313.989720557,309.582808522
pr226_n2250_uncorr-similar-weights_07,297218.509759666,297218.509759666,297218.509759666,107,297218.509759666,33.145151387,227,297218.509759666,43.595205517,347,297218.509759666,253.391081296,467,297218.509759666,46.260706466,587,297218.509759666,3.680077843
pr226_n2250_uncorr-similar-weights_08,328885.710468998,328885.710468998,328885.710468998,108,328885.710468998,123.921484378,228,328885.710468998,260.109833606,348,328885.710468998,26.814434277,468,328885.710468998,78.021929866,588,328885.710468998,21.581691837
pr226_n2250_uncorr-similar-weights_09,360835.774665921,360835.774665921,360835.816197731,109,360835.774665921,360.225341528,229,360835.816197731,174.901313753,349,360835.774665921,135.840613214,469,360835.774665921,294.523535321,589,360835.774665921,10.955456947
pr226_n2250_uncorr-similar-weights_10,395194.024226397,395449.680258938,395449.680258938,110,395449.680258938,10.781256969,230,395449.680258938,50.883062647,350,395194.024226397,15.196742494,470,395194.024226397,141.525125489,590,395449.680258938,439.803692546
